Diabetes Prevalence,Without Health Insurance (BRFSS),Annual Checkup,Poor Mental Health,Obesity Prevalence,Education < 9th,Education 9-12 No Diploma,High School Diploma,Associate Degree,Aged 65 and Over,Unemployed,In Poverty,Households with No Vehicle,Rural,Broadband Internet Subscription,Broadband Internet Structural Availability
13.5,12.4,76.4,19.5,40.6,2.9,9.3,34.2,8.6,16.3,3.3,17.6,6.8,0,79.9,100.0
14.7,14.8,76.8,20.9,44.2,3.7,13.9,44.7,8.3,20.3,5.3,22.2,6.9,0,53.0,100.0
14.5,11.8,78.7,18.1,38.2,3.8,8.5,25.8,7.7,15.1,3.9,19.6,7.1,0,84.5,100.0
11.4,12.6,75.2,18.9,42.7,6.1,9.2,31.2,9.0,17.5,2.7,14.6,4.8,0,79.9,100.0
19.4,17.3,79.0,22.1,52.5,5.6,15.8,40.1,3.7,19.6,8.3,35.7,9.9,0,57.3,100.0
14.2,15.5,76.5,19.8,44.9,6.1,10.6,42.3,7.3,18.9,3.2,22.7,7.7,0,72.6,100.0
13.5,12.2,76.1,19.3,41.5,3.3,9.4,36.3,4.3,15.2,2.3,23.8,6.8,0,74.0,100.0
12.0,12.8,75.7,19.9,40.1,6.5,13.2,34.4,10.1,20.9,1.9,18.2,4.9,0,76.6,100.0
14.2,13.5,77.6,19.5,43.8,5.0,9.8,29.5,12.0,14.4,3.4,21.9,7.9,0,75.2,100.0
8.9,8.0,77.0,15.6,33.3,2.0,4.4,19.8,8.3,15.6,2.1,7.0,2.5,0,92.1,100.0
10.4,11.2,73.2,18.4,39.2,4.8,9.2,35.2,9.3,16.7,2.8,12.1,3.6,0,86.2,100.0
18.2,14.4,79.6,20.4,47.5,3.0,9.8,33.5,7.2,18.8,3.2,31.6,8.1,0,67.3,100.0
13.4,13.4,75.1,20.3,42.1,4.6,12.5,34.6,8.8,17.8,4.2,18.6,8.4,0,80.9,100.0
12.3,12.7,74.9,19.1,41.2,5.0,13.5,31.6,9.1,21.5,5.2,16.8,7.1,0,79.1,100.0
12.4,10.6,76.8,18.3,41.6,2.9,7.5,29.8,8.9,13.4,3.2,15.8,5.3,0,85.1,100.0
11.3,12.7,73.1,20.5,38.0,5.6,12.1,34.6,10.7,19.2,3.7,16.9,4.8,0,78.6,100.0
13.4,13.1,74.8,20.3,41.7,4.2,9.7,42.5,8.7,20.6,2.8,16.7,3.5,0,71.0,100.0
18.0,17.0,79.1,21.4,48.5,5.5,15.3,39.2,6.5,19.8,6.1,27.4,14.2,1,71.1,100.0
11.4,14.0,73.2,20.5,39.1,5.9,14.8,38.7,7.5,21.5,2.5,19.3,4.5,0,76.3,100.0
10.9,10.9,76.2,19.3,37.9,5.6,7.7,41.9,11.9,19.3,2.5,16.4,8.7,0,71.6,100.0
13.3,13.5,75.2,20.7,42.0,5.7,9.1,50.9,5.9,20.5,2.4,20.6,8.1,0,71.5,100.0
9.8,10.2,76.7,19.8,35.5,2.9,8.4,34.7,10.8,30.5,2.5,14.0,4.3,0,80.2,100.0
9.3,10.1,74.2,16.5,34.6,4.9,5.4,29.4,6.6,13.3,2.0,8.1,2.7,0,84.5,100.0
9.8,9.8,75.8,18.8,39.0,3.8,7.1,33.8,10.6,20.6,2.7,13.3,5.5,0,85.3,100.0
13.0,14.9,76.7,19.7,42.2,5.6,10.2,42.9,7.0,18.0,2.8,14.8,8.6,0,73.0,100.0
10.6,10.9,75.3,18.3,41.9,2.5,13.3,43.3,8.8,20.4,4.4,9.9,5.2,0,74.4,100.0
10.2,12.6,74.5,17.9,36.7,8.0,6.8,35.2,6.9,22.8,2.2,14.3,4.6,0,76.1,100.0
16.0,15.9,78.1,20.8,47.1,7.2,14.4,38.3,5.0,20.8,6.0,29.6,13.3,0,68.7,100.0
11.8,9.9,77.6,18.7,42.6,2.9,6.6,32.0,5.3,16.2,2.0,20.4,5.1,0,76.0,100.0
11.0,11.6,74.5,20.5,39.1,6.2,9.5,42.8,7.9,21.3,3.6,18.8,6.4,0,74.3,100.0
10.2,10.4,74.5,19.4,37.6,4.5,7.2,42.4,8.9,26.7,3.1,15.1,2.6,0,81.3,100.0
10.9,10.6,76.0,19.4,40.4,1.2,8.1,46.7,5.3,20.5,1.0,12.4,8.0,0,70.6,100.0
13.0,11.4,78.5,19.8,41.7,3.9,9.1,39.8,6.7,16.7,2.2,23.4,4.2,0,71.8,100.0
11.8,11.3,76.6,19.9,40.6,4.5,7.4,41.0,9.1,19.2,3.9,18.9,7.8,0,76.0,100.0
10.5,9.8,76.3,18.5,42.7,4.6,5.7,32.8,8.0,13.6,3.6,17.8,5.9,0,83.3,100.0
11.0,11.6,74.0,19.5,39.4,4.4,10.7,34.1,9.2,16.7,2.6,17.7,3.9,0,78.5,100.0
13.6,12.1,79.6,19.9,43.8,5.1,10.4,35.4,8.1,13.8,6.2,19.8,10.1,0,82.1,100.0
11.9,12.0,75.9,20.3,43.0,6.7,11.5,41.8,7.1,18.5,4.8,17.6,8.1,0,77.8,100.0
12.4,11.7,77.4,19.3,40.4,3.7,8.5,45.2,7.5,23.4,4.0,12.9,9.1,0,66.6,100.0
15.4,15.1,78.0,21.2,45.1,9.3,9.8,44.2,3.8,18.8,2.9,27.8,14.1,0,68.1,100.0
12.0,11.2,77.9,19.3,41.5,4.1,8.9,36.6,6.1,17.7,1.3,20.0,8.8,0,75.1,100.0
10.1,8.6,75.2,17.7,36.8,2.4,4.5,30.1,7.8,12.5,2.0,14.8,4.6,0,87.3,100.0
11.6,12.3,75.1,21.2,39.9,5.6,7.9,41.6,10.0,19.5,2.7,22.8,5.5,0,70.7,100.0
11.7,12.2,74.7,21.4,40.6,4.2,9.9,37.2,7.7,25.6,2.6,17.9,4.0,1,53.5,100.0
9.9,9.8,74.3,18.8,36.5,2.6,7.0,31.8,9.6,23.4,3.3,16.2,7.0,0,81.0,100.0
9.4,9.4,75.2,18.6,39.3,2.2,6.2,42.6,7.4,17.8,1.9,14.1,2.7,0,80.0,100.0
10.9,10.7,75.1,19.3,39.5,3.1,8.3,44.3,6.7,15.8,4.4,16.4,4.8,0,82.2,100.0
13.3,13.8,77.4,19.7,44.8,7.6,8.6,38.4,8.6,17.8,2.6,24.6,9.1,0,77.5,100.0
11.1,11.0,75.3,18.7,35.5,2.7,8.8,39.1,8.3,18.7,2.7,19.0,5.3,0,72.7,100.0
12.3,12.9,76.8,19.7,41.3,3.9,8.1,41.8,9.3,17.5,3.4,20.3,3.8,0,75.7,100.0
10.5,11.1,75.7,19.5,37.4,4.4,9.8,37.0,8.4,17.0,3.1,17.7,6.3,0,63.2,100.0
10.8,11.9,74.6,19.7,37.6,6.4,11.5,33.2,7.8,24.7,2.9,15.7,7.2,1,51.3,100.0
12.4,12.8,76.0,20.4,40.0,5.0,11.5,43.1,7.4,17.7,4.9,20.8,6.1,0,75.1,100.0
