state,county,name,ed_lt9,ed_9_12,ed_hs,ed_sc,ed_asc,ed_b,ed_gr,age_gte65,race_white,race_black,race_aian,race_asian,race_nhopi,race_other,eth_hisp,sex_male,sex_female,occ_n_lab,occ_mgt,occ_svc,occ_sales,occ_nat_res,occ_prod,hlth_unins,ses_pov,tp_veh_0,tp_veh_1,tp_veh_2,tp_veh_3,dg_bb_int
48,245,"Jefferson County, Texas",7.2,7.9,32.0,25.1,8.5,13.0,6.2,14.3,51.0,33.4,0.4,3.8,0.1,3.9,21.9,51.4,48.6,44.1,28.4,20.9,21.0,14.4,15.3,21.0,18.2,7.3,36.4,37.9,18.4,83.9
48,247,"Jim Hogg County, Texas",13.4,13.8,36.5,20.1,3.1,9.8,3.4,12.9,82.9,0.3,0.0,0.0,0.0,3.8,93.3,50.3,49.7,33.9,16.8,21.8,18.6,17.5,25.3,23.6,30.0,7.0,46.9,25.6,20.5,59.9
48,249,"Jim Wells County, Texas",8.0,13.1,37.5,19.7,6.1,12.0,3.6,15.5,90.5,0.8,0.7,0.1,0.4,2.2,80.5,49.9,50.1,44.8,30.4,18.2,21.1,15.3,15.1,19.1,21.2,7.2,33.4,39.3,20.2,67.2
48,251,"Johnson County, Texas",4.8,8.9,35.3,23.2,7.3,13.8,6.6,13.9,85.6,4.4,0.3,1.1,0.0,2.5,22.8,50.2,49.8,36.7,29.6,14.1,18.7,10.6,27.0,16.3,10.4,2.3,27.4,47.3,22.9,89.6
48,253,"Jones County, Texas",4.8,14.5,38.8,22.6,7.2,9.8,2.4,15.4,69.7,12.3,0.4,0.3,0.0,7.3,28.1,62.8,37.2,63.9,30.4,23.3,17.9,13.1,15.3,16.9,12.4,3.7,28.5,37.3,30.5,81.9
48,255,"Karnes County, Texas",11.2,13.7,37.0,17.2,4.9,11.3,4.6,14.1,75.1,5.7,0.5,0.6,0.0,3.9,56.3,59.2,40.8,58.3,26.4,23.4,22.6,15.4,12.3,15.9,18.2,6.7,32.7,36.4,24.1,74.3
48,257,"Kaufman County, Texas",5.1,8.5,29.7,25.3,9.2,15.6,6.6,11.5,71.7,13.6,0.3,1.3,0.1,3.5,23.7,49.5,50.5,32.4,36.0,16.9,21.8,11.9,13.4,13.9,10.0,2.8,23.1,40.4,33.7,86.2
48,259,"Kendall County, Texas",4.0,2.7,14.7,22.9,8.2,29.7,17.8,18.8,82.9,0.3,0.5,1.0,0.3,5.6,24.8,49.3,50.7,38.1,49.8,13.1,22.7,8.8,5.6,12.4,4.8,2.0,23.3,42.0,32.7,92.6
48,261,"Kenedy County, Texas",56.3,25.2,14.6,0.0,0.0,1.9,1.9,29.0,84.6,0.0,0.6,0.6,0.0,0.6,98.2,58.0,42.0,37.9,20.3,14.1,10.9,45.3,9.4,20.7,1.8,0.0,43.8,45.8,10.4,52.1
48,263,"Kent County, Texas",7.9,3.2,23.8,29.3,3.0,15.0,17.8,33.9,85.1,1.1,0.0,0.0,0.0,6.5,16.6,53.0,47.0,53.3,40.8,17.4,16.4,16.9,8.5,2.9,13.0,3.3,40.7,28.4,27.6,81.9
48,265,"Kerr County, Texas",3.6,6.3,28.6,24.7,7.7,19.0,10.1,27.2,80.4,1.4,0.4,0.8,0.0,7.2,27.9,48.7,51.3,44.5,33.6,21.4,22.9,12.1,10.0,18.2,11.6,4.2,31.8,41.2,22.7,88.8
48,267,"Kimble County, Texas",4.9,9.4,28.8,24.2,4.6,17.4,10.7,28.4,82.6,1.0,0.5,0.0,0.0,4.1,25.4,49.7,50.3,39.1,35.0,18.0,19.0,19.7,8.4,17.8,13.9,4.2,26.9,36.3,32.7,79.1
48,269,"King County, Texas",18.7,4.8,35.5,15.7,0.0,21.7,3.6,7.4,88.6,0.0,0.0,0.0,0.0,3.5,34.9,49.8,50.2,40.1,26.5,21.4,20.4,24.5,7.1,15.7,29.3,0.0,12.0,57.8,30.1,97.6
48,271,"Kinney County, Texas",7.4,7.5,25.7,36.1,6.5,8.9,7.8,24.9,94.1,0.0,0.1,0.0,0.0,0.0,65.7,60.5,39.5,56.9,38.3,34.0,8.4,2.4,16.9,17.7,18.2,5.4,38.2,35.2,21.2,61.9
48,273,"Kleberg County, Texas",9.7,9.7,32.9,19.4,5.4,15.4,7.6,13.0,68.6,3.1,0.4,1.6,0.0,4.0,73.5,49.9,50.1,41.5,30.3,21.3,21.9,12.9,13.6,15.1,28.6,5.7,40.6,37.0,16.7,79.9
48,275,"Knox County, Texas",10.6,8.4,31.2,28.5,6.4,9.5,5.4,18.4,77.0,6.1,0.0,1.7,0.0,4.4,35.2,50.1,49.9,42.4,21.6,12.7,23.3,22.2,20.1,19.2,9.8,2.3,40.8,36.9,20.0,79.7
48,277,"Lamar County, Texas",4.2,8.3,34.3,23.7,10.0,13.0,6.5,19.0,78.6,13.4,0.9,0.8,0.0,1.3,8.4,48.7,51.3,39.8,31.3,16.7,20.7,13.0,18.3,17.8,16.9,6.9,34.2,36.2,22.7,73.1
48,279,"Lamb County, Texas",13.3,10.4,35.9,19.5,8.2,9.7,3.0,16.9,80.6,3.4,0.5,0.6,0.3,2.8,56.5,50.2,49.8,42.5,34.8,15.4,17.2,16.3,16.2,23.6,18.3,5.8,24.6,42.1,27.6,73.2
48,281,"Lampasas County, Texas",3.2,5.4,31.0,29.7,12.5,12.0,6.2,20.2,82.2,3.7,0.7,1.3,0.2,2.3,20.0,50.2,49.8,47.0,34.4,17.3,22.8,10.2,15.3,15.0,9.2,4.9,22.8,44.9,27.4,84.5
